Id Tiny;Ref. Pai;Código;Embalagem;Quantidade embalagem;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953746;;2912-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953658;;2915-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;294;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29123;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29132333;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29172737;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29162636;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29182838;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29102030;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29112131;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29142434;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29192939;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29122232;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;29152535;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;81;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;COADOR;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;82;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;83;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944676;;83C;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944670;;83A;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944706;;83R;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944686;;83VD;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944698;;83VM;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;4264;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5264;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;7152;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8152;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5152;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;7153;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8153;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5153;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8160;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;7160;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5160;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;7154;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8154;EMB-015;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5154;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8159;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;7159;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5159;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8158;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;7158;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5158;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;5028;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;264;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;28;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906913090;;434A;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906913093;;434VM;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906913087;;434VD;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906913102;;434B;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906913096;;434C;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906913099;;8434R;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
907040414;;8434C;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906928723;;8434VD;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;434;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944778;;434A-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944802;;434C-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906757424;;434B-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944767;;434VD-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944790;;434VM-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944810;;8434R-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
907040316;;8434C-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;435;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8435;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
906928841;;8424VD-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891944746;;434-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8434;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8434A;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8434VM;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8434-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8434A-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8434VM-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;126124123100A;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;126124123100B;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;126124123100C;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951787;;126124123100VM;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951742;;126124123100R;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951750;;126124123100VD;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951780;;126124123100T;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947585;;126B;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941470;;126C;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941406;;126R;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941430;;126VD;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941451;;126A;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941545;;126VM;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;126;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;126;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1126;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947465;;100VD;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;126B-2;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947535;;100VM;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947476;;100A;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947506;;100B;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947438;;100R;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8126;EMB-008;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947497;;100C;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;100;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1100;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947905;;122C;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947921;;122VM;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947962;;122R;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947888;;122A;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947938;;122B;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947979;;122VD;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;122;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;122;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1122;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;100B-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947815;;121A;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947737;;121B;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947696;;121C;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8100;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947781;;121R;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947797;;121VD;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891947719;;121VM;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;121;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1121;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941698;;124A;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941495;;124B;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941748;;124C;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941635;;124R;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941664;;124VD;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;8122;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891941808;;124VM;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;124;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;1124;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951426;;123A;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951467;;123B;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951447;;123C;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951372;;123R;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951392;;123VD;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;121-2;EMB-007;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
